SKLYPO_ID,UNIKAL_ID,PLOTAS_REG,ADRESAS,PASK_TIP,SKLYPO_PLOTAS_M2,PAGRINDINE_ZONA_PAV,PAGRINDINE_ZONOS_KODAS,PAGRINDINE_U_INTENS,PAGRINDINE_MAX_AUK_SK,PAGRINDINE_PAGR_PASK,PAGRINDINE_BP_OBJ_NR,PAGRINDINE_ZONOS_PROC,ANTRA_ZONA_PAV,ANTRA_ZONOS_KODAS,ANTRA_ZONOS_PROC,draustiniu_proc,rezervatu_proc,parku_proc,biosferos_poligonu_proc,bast_proc,past_proc,pajurio_juostos_proc,buferiniu_apsaugos_zonu_proc
552800011047,440051111330,1.1001,KlaipÓdos r. sav. BendikÖ k.,610,11000.52,Žemės ūkio teritorijų zona,ZU_F,"0,05",0,Z;KT,469,100.0,,,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
552800020128,552800020128,0.1493,KlaipÓdos r. sav. KunkiÖ k. BerUÖ g. 2,995,1493.4,Ekstensyvaus užstatymo gyvenamoji zona,U_GG_E_F,"0,2*",0,KT,101,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
552800020322,440003616246,1.4,KlaipÓdos r. sav. DarguUiÖ k.,610,14000.38,Ekstensyvaus užstatymo gyvenamoji zona,U_GG_E_F,"0,2*",0,KT,101,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
552800020429,440012512056,0.1959,KlaipÓdos r. sav. DarguUiÖ k. KalviukÖ g. 3,995,1962.11,Ekstensyvaus užstatymo gyvenamoji zona,U_GG_E_F,"0,2*",0,KT,101,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
552800020517,440016107347,0.228,KlaipÓdos r. sav. DarguUiÖ k.,995,2280.0,Ekstensyvaus užstatymo gyvenamoji zona,U_GG_E_F,"0,2*",0,KT,101,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
552800020656,440049995296,0.0378,KlaipÓdos r. sav. DarguUiÖ k.,995,377.76,Ekstensyvaus užstatymo gyvenamoji zona,U_GG_E_F,"0,2*",0,KT,101,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
552800040106,552800040106,2.79,KlaipÓdos r. sav. ¾aipiÖ k.,610,30131.76,Žemės ūkio teritorijų zona,ZU_F,"0,05",0,Z;KT,247,100.0,Miškų ir miškingų teritorijų zona,MI_F,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
552800040127,552800040127,1.0,KlaipÓdos r. sav. ¾aipiÖ k.,610,10877.24,Žemės ūkio teritorijų zona,ZU_F,"0,05",0,Z;KT,247,86.6,Miškų ir miškingų teritorijų zona,MI_F,9.94,96.54,0.0,96.54,0.0,0.0,0.0,0.0,0.0
552800040361,440006487943,0.29,KlaipÓdos r. sav. Bruzdeilyno k. ApUvalgos g. 11,995,2899.91,Ekstensyvaus užstatymo gyvenamoji zona,U_GG_E_F,"0,2*",0,KT,165,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
552800040385,440007560416,0.0511,KlaipÓdos r. sav. GrabiÖ k.,995,511.13,Ekstensyvaus užstatymo gyvenamoji zona,U_GG_E_F,"0,2*",0,KT,101,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
552800040473,440009418760,0.2,KlaipÓdos r. sav. DarguUiÖ k.,995,2000.29,Ekstensyvaus užstatymo gyvenamoji zona,U_GG_E_F,"0,2*",0,KT,101,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
552800040724,440012354082,0.201,KlaipÓdos r. sav. Bruzdeilyno k. PaÕaltinio g. 32,995,2009.74,Ekstensyvaus užstatymo gyvenamoji zona,U_GG_E_F,"0,2*",0,KT,101,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
552800040752,440012889346,1.3,KlaipÓdos r. sav. GrabiÖ k.,610,13004.84,Ekstensyvaus užstatymo gyvenamoji zona,U_GG_E_F,"0,2*",0,KT,101,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
