SKLYPO_ID,past_proc
555800071468,0.0
553500040802,0.0
555800130188,0.0
555800070963,0.0
551300150138,0.0
556800100090,0.0
554400030285,0.0
550500050041,0.0
552800030376,0.0
555800041232,0.0
551800020233,0.0
551800020233,0.0
555800140675,0.0
555800140677,0.0
554400050374,0.0
554400051381,0.0
553000050310,0.0
553500020426,0.0
551300210260,0.0
552000040067,0.0
554400200395,0.0
550100010314,0.0
554400180164,0.0
554800010012,0.0
553000050632,0.0
555800050783,0.0
551000030291,0.0
554400180199,0.0
553000040385,0.0
555800020084,0.0
552000010053,0.0
551000010239,0.0
551000010231,0.0
555800140632,0.0
552000090441,0.0
551000040167,0.0
551000040165,0.0
555300010037,0.0
556500010911,0.0
551300150143,0.0
551000040750,0.0
551000030158,0.0
551300140006,0.0
554400170015,0.0
555200030307,0.0
555800020190,0.0
555800021487,0.0
555800020189,0.0
552300070161,0.0
555800052440,0.0
555000010319,0.0
551000050913,0.0
551300190114,0.0
551000050901,0.0
551000050901,0.0
555800140226,0.0
553500020392,0.0
555800052438,0.0
555200080082,0.0
555200010512,0.0
552300030800,0.0
552000020142,0.0
550300020077,0.0
552300090162,0.0
553000010209,0.0
551300190168,0.0
552000090347,0.0
555300030139,0.0
553800140060,0.0
553800050384,0.0
550500020196,0.0
554400110111,0.0
555800050844,0.0
555800050375,0.0
550300010011,0.0
556500010881,0.0
552300030942,0.0
551300210911,0.0
555200110583,0.0
553800020506,0.0
555000020300,0.0
555800052041,0.0
553300010330,0.0
555200130732,0.0
552500060171,0.0
552300020139,0.0
555800071446,0.0
551300210684,0.0
553000040095,0.0
554300050538,0.0
555800051946,0.0
553800010171,0.0
556300040311,0.0
555200110091,0.0
554400190082,0.0
552300080110,0.0
554400060092,0.0
556300060093,0.0
555300010300,0.0
554400051291,0.0
550500020058,0.0
551500050196,0.0
552800060469,0.0
555800021411,0.0
555800020880,0.0
553500050381,0.0
552000010813,0.0
555000060149,0.0
550500050079,0.0
