senas_idx,naujas_idx,persidengimo_plotas_m2,persidengimo_proc_nuo_seno,persidengimo_proc_nuo_naujo,db_sklypo_id,db_unik_id,db_kadastro_nr,atviru_unikalus_nr,atviru_kadastro_nr,atviru_plotas
53,58663,599.454700977359,99.99999999712682,99.99999999642236,555800130122,,,555800130122,5558/0013:0122,0.0600
54,83963,640.0222945942234,99.9999999990993,99.99999999703371,555800040055,,,555800040018,5558/0004:0018,0.0640
55,2502,36200.39108129073,98.26271684800341,99.99999999971102,555800040055,,,555800040055,5558/0004:0055,3.6200
56,81772,1441.8879999849485,99.99999999692791,99.999999998862,555800050942,,,440011566304,5558/0005:0942,0.1442
57,87125,47903.9491077656,99.99995417540667,99.99998841299744,555800010346,,,440043194730,5558/0001:0346,4.7904
58,44533,18954.66419997379,99.99999999908837,99.99999999976113,552300070164,,,440010134488,5523/0007:0164,1.8955
59,60241,6800.294114906907,99.99999999884584,99.99999999861208,554400060453,,,440039826990,5544/0006:0453,0.6800
60,59461,11299.684849845653,99.99999999858603,99.99999999905155,555200100346,,,440004501584,5552/0010:0346,1.1300
61,90168,3800.0328529064022,99.99999999931936,99.99999999735628,553000051274,,,440049180601,5530/0005:1274,0.3800
62,29691,936.3121054688239,100.00000000032117,99.99999999687358,555800140411,,,440008972327,5558/0014:0411,0.0936
63,30839,1001.9924954819519,99.99999999617039,99.99999999800121,552300040310,,,440013171132,5523/0004:0310,0.1002
64,21987,1201.5581924791486,99.99891558460892,99.99999999953698,555800070638,,,440010705836,5558/0007:0638,0.1202
65,2420,27827.030202685946,99.16980222025617,93.65239249327986,551800060372,,,440023441598,5518/0006:0372,2.8500
66,69207,4706.34129998917,99.99999999787002,99.99999999989801,556300060507,,,440014717658,5563/0006:0507,0.4706
67,30216,6140.434497978901,56.24605674110514,99.99969301849046,554500020393,,,440064656553,5545/0002:0227,0.6140
68,40858,2999.8897499920504,99.99999999889233,99.99999999973383,554400020584,,,440009467878,5544/0002:0584,0.3000
69,81724,27664.912690328365,93.98895475302857,95.77516748538392,553500040267,,,440004307677,5535/0004:0267,2.8885
70,6203,941.8943013494581,99.99999999816444,99.99999999800005,552300060548,,,440022174201,5523/0006:0548,0.0942
71,14190,1002.0371979752802,99.99999999860883,99.99999999772572,552300070311,,,440042855181,5523/0007:0311,0.1002
72,21018,3542.495993834856,99.99999999801172,99.99999999924744,554500020181,,,554500020181,5545/0002:0181,0.3542
73,80888,1480.7093640034886,98.69688951267104,98.73198948440363,552000040060,,,552000040060,5520/0004:0060,0.1500
74,44813,1605.0589839672518,99.9999999980674,99.99999999747516,552000040051,,,552000040051,5520/0004:0051,0.1605
75,65017,37515.27896339496,99.99999999958914,99.99999999987782,551800030033,,,551800030033,5518/0003:0033,3.7516
76,7940,587.7883145421705,99.99999999751468,99.99999999844988,551300150109,,,551300150109,5513/0015:0109,0.0600
77,44167,674.0634987574483,99.99999999999896,93.13564121725776,551300150004,,,551300150004,5513/0015:0004,0.0600
78,44588,2005.6309280175296,99.99999999895216,99.99999999868108,552800040528,,,440009707286,5528/0004:0528,0.2006
79,89554,2733.1278944418254,99.99985382959254,99.99978511581931,553000030115,,,440051183109,5530/0003:0115,0.2733
80,7755,600.3837999875601,99.99999999650282,99.9999999993586,554400150085,,,554400150085,5544/0015:0085,0.0600
81,65629,450.0310829949202,99.99894897353093,99.99999999753348,555800051968,,,440025893225,5558/0005:1968,0.0450
82,69907,14230.00931836836,99.99999999973484,99.9999999989967,555200110141,,,440011355563,5552/0011:0141,1.4230
83,68058,440.10599997766013,99.99999999615832,99.99999999506343,552300070484,,,440051393472,5523/0007:0484,0.0440
84,32663,2360.056099976719,99.99999999948345,99.99999999889782,552500020296,,,440038189743,5525/0002:0296,0.2360
85,65615,605.4599219124284,99.8245781273025,99.99739410174075,555800130180,,,555800130180,5558/0013:0180,0.0600
86,60185,602.6664499959154,99.99999999733643,99.99999999932648,552800100103,,,552800100103,5528/0010:0103,0.0600
87,58582,1786.369459012521,99.99827906823451,99.99999999963521,551500010392,,,440051316028,5515/0001:0392,0.1786
88,6951,675.1072999858263,99.99999999619206,99.99999999841751,550500030203,,,550500030203,5505/0003:0203,0.0675
89,66274,590.5401583686888,99.99791221976588,98.3964286264953,551300120132,,,551300120132,5513/0012:0132,0.0615
90,13041,4731.673049960081,99.99999999913335,99.99999999915255,554500010342,,,440005090617,5545/0001:0342,0.4700
91,23299,563.0536123996851,82.16361230601453,93.87510937583356,553800070038,,,553800070038,5538/0007:0038,0.0600
92,74653,31075.32362279793,99.52029498923957,98.53901981118473,553500010019,,,553500010019,5535/0001:0019,3.1536
93,13418,27714.05079585884,99.99999999929689,99.99999999920291,550800010059,,,550800010059,5508/0001:0059,2.8200
94,38171,399.60557938282096,99.92993321193913,99.99996906287801,552300090378,,,440051125358,5523/0009:0378,0.0400
95,10833,91872.89532975253,82.45155317052301,98.06973928559411,551800090028,,,440058881286,5518/0009:0334,9.3681
96,59540,569.6337193842993,99.99999999805972,99.99999999745697,554400100010,,,554400100010,5544/0010:0010,0.0570
97,72724,932.6609864954768,99.9994298073035,99.99758004811041,552300041152,,,440051946277,5523/0004:1152,0.0933
98,65233,628.5891499922376,99.99999999916797,99.9999999993981,555200130510,,,555200130510,5552/0013:0510,0.0600
99,78049,1187732.521212649,83.1737431849635,99.99677409068035,550300020249,,,440062877489,5503/0002:0261,118.7753
100,4260,1499.6664499753288,99.99752617419924,99.99999999898877,555200090334,,,440051996404,5552/0009:0334,0.1500
101,85559,4752.033941228636,99.99999999855868,99.9999999990231,556300060424,,,440009019500,5563/0006:0424,0.5000
102,38161,596.6654216586905,97.34565826922586,98.42304860224161,555200120027,,,555200120027,5552/0012:0027,0.0606
103,3153,4995.369649988907,99.99999999946769,99.99999999925012,554500020136,,,440051102784,5545/0002:0136,0.4996
104,63475,1279.4313564995987,99.99997639166904,99.99998202171186,552300020863,,,440021610639,5523/0002:0863,0.1280
105,68255,920.9772777918768,99.99999999906535,99.99938011390758,552300020857,,,440021608420,5523/0002:0857,0.0921
106,50392,58228.29392801748,99.99999999933078,99.99999999966315,551800010148,,,440004710174,5518/0001:0148,6.0200
107,40305,688.8852494797886,99.99999999599015,99.99999999736019,553800020609,,,553800020609,5538/0002:0609,0.0700
108,55271,791.6030499656556,99.99999999994051,99.9999999940904,553800020608,,,553800020608,5538/0002:0608,0.0792
109,19165,9584.073049910121,99.99999999939143,99.99999999863456,554400050505,,,440002431978,5544/0005:0505,0.9584
110,16488,13449.476110923977,70.41477478598472,100.0,556800110200,,,440063930536,5568/0011:0423,1.3450
111,91459,1530.8462290656141,99.99999999750567,99.99999999774575,554800010102,,,554800010102,5548/0001:0102,0.1531
112,50511,1282.9471599839517,99.99999999947545,99.99999999823528,552000170251,,,440016564137,5520/0017:0251,0.1283
113,33467,5716.561852249924,99.99969238490067,99.99274966343346,555800070667,,,440011143527,5558/0007:0667,0.5716
114,16655,20018.366699746675,99.9999999984641,99.99999999921752,556500040132,,,440004255325,5565/0004:0132,2.0000
115,44976,597.2064805973233,99.99949592323688,99.99995295957417,552300021053,,,440041122483,5523/0002:1053,0.0597
116,25479,12239.442280830875,99.99999999287319,99.99999999906373,551800090147,,,551800090147,5518/0009:0147,1.3600
117,43942,1474.8339499636436,99.99999999510052,99.99999999987119,556300050267,,,440010861253,5563/0005:0267,0.1475
118,53054,12288.198499979424,99.9999999951525,100.0000000000608,556300040257,,,440008737704,5563/0004:0257,1.2288
119,20979,2726.8181499402376,99.99999999824402,99.99999999930192,554500020198,,,440050831393,5545/0002:0198,0.2727
120,50528,356562.40214283456,99.9987214769042,99.9981939878927,551070010001,,,440020682557,5510/7001:0001,35.6576
121,13389,5645.956495029881,99.99999999955888,97.51921467957891,555500010292,,,440012151312,5555/0001:0292,0.5700
122,20578,2457.4951809928443,99.99999999928806,99.99999999917382,552300070325,,,440045430946,5523/0007:0325,0.2457
123,69953,123712.96982735934,99.99999999978874,99.99999999977662,551500010008,,,551500010008,5515/0001:0008,12.3713
124,39634,18800.445137718027,99.99999999904931,99.99999999891125,555200010165,,,440005891565,5552/0001:0165,1.8800
125,84240,27288.8143102577,99.99999999937354,99.99999999980047,552800020659,,,440052445702,5528/0002:0659,2.7289
126,86832,1200.0122999679886,99.99999999954122,99.99999999751459,555800052588,,,440051501703,5558/0005:2588,0.1200
127,33932,1200.0629939884248,99.99959648244406,99.99980959219702,555800052614,,,440051504950,5558/0005:2614,0.1200
128,92671,26653.090118848057,99.9999999995635,99.99999999940226,556500010679,,,440008639569,5565/0001:0679,2.6653
129,80009,8467.99839989998,99.99999999818505,99.99999999879435,554400030652,,,440021781639,5544/0003:0652,0.8468
130,60986,1369.7818999684278,99.99999999709786,99.99999999764935,553500041048,,,440050588880,5535/0004:1048,0.1370
131,34205,21164.435944954523,99.99999999848777,99.99999999980427,550100020130,,,440052161192,5501/0002:0130,2.1164
132,58662,17870.68832494443,99.99999999883427,99.99999999979516,556300010132,,,556300010132,5563/0001:0132,1.7400
133,43766,7083.777490828154,99.99999999603517,99.99999999965169,556300070223,,,440015154464,5563/0007:0223,0.7000
134,54118,3434.718740710256,99.99999999900527,99.99999999875013,555000010416,,,440050791932,5550/0001:0416,0.3434
135,10345,611.059750001499,99.99999999718688,99.999999999569,554400130296,,,554400130296,5544/0013:0296,0.0611
136,74519,1329.4136186354033,99.99999999817713,99.99999999868955,552300050368,,,440023983479,5523/0005:0368,0.1329
137,88415,626.924990982257,98.3796344745995,92.57127534932945,554400120154,,,554400120154,5544/0012:0154,0.0600
138,35959,2520.37529994825,99.99999999901664,99.99999999765865,556800070128,,,440050674580,5568/0007:0128,0.2520
139,20641,21946.421941157674,99.99654683889506,99.9999325347431,551000030404,,,440007407612,5510/0003:0404,2.1947
140,90406,8629.800973741441,99.99981243300424,99.99919214384644,554400030361,,,440004715639,5544/0003:0361,0.8500
141,16073,43405.66411286934,99.99999999992949,99.99999999975783,551000020400,,,440012178973,5510/0002:0400,4.2500
142,6071,78.25091737522041,13.473376223848387,13.669187423275453,554300030165,,,554300030165,5543/0003:0165,0.0573
143,48402,40063.46156059224,97.98670478449388,99.998428294903,554300010031,,,440052936012,5543/0001:0177,4.0064
144,6319,50146.46456372751,98.80508713668976,99.99993706692631,554300010031,,,440052921250,5543/0001:0163,5.0146
145,37079,1568.273449965646,99.99999999831634,99.99998316319034,551300230158,,,440049519593,5513/0023:0158,0.1568
146,48413,917.0052499868021,99.9999999989205,99.99999999753355,552300041077,,,440050199960,5523/0004:1077,0.0917
147,61447,312.6741163342424,99.98005233111591,99.98213037453851,552300041072,,,440050900059,5523/0004:1072,0.0312
148,27065,613.5582999827817,100.00000000038789,99.99999999588051,551300180417,,,551300180417,5513/0018:0417,0.0600
149,64484,789.4697109914327,99.99999999990816,99.99999999907365,551300230015,,,551300230015,5513/0023:0015,0.0796
150,72882,751.9933755479303,99.99999999963555,99.99999999896063,555200050237,,,440006523682,5552/0005:0237,0.0700
151,70615,577.0816104698124,99.99999999655897,99.98331693516008,555800131067,,,440050907807,5558/0013:1067,0.0577
152,63539,605.9685749725359,99.99999999932065,99.9999999953356,551300210400,,,551300210400,5513/0021:0400,0.0600
153,29186,925.629100439457,99.999546741901,99.99978129360075,555800071118,,,440021860177,5558/0007:1118,0.0927
154,85689,399.53780048935596,99.99998910877287,99.99861917046547,555800070225,,,440001221552,5558/0007:0225,0.0400
155,23501,7890.144567232712,99.99990844530389,99.99980786157909,551000051624,,,440050882407,5510/0005:1624,0.7890
156,94630,29654.993799909793,99.99999999918647,99.99999999979599,552300050155,,,552300050155,5523/0005:0155,2.9656
157,28409,2394.4833374975,99.99986295581378,99.9995748994791,551500010347,,,440028816032,5515/0001:0347,0.2395
158,96935,1099.6589499896643,99.99999999821951,100.00000000045992,551000051606,,,440050609148,5510/0005:1606,0.1100
159,68480,3240.6307604124445,99.99999999889387,99.99999999770597,554500010157,,,440048669300,5545/0001:0157,0.3240
160,34913,24726.53420741137,99.99999999829747,99.99999999964174,553800140579,,,440021174732,5538/0014:0579,2.5000
161,42045,17128.227518652402,99.99999999932936,99.999999999574,553800140656,,,440023737451,5538/0014:0656,1.7128
162,48250,2186.3722286616894,97.43955637884338,92.83750832225381,555300040239,,,440051207222,5553/0004:0239,0.2300
163,19595,599.9393999798415,99.99999999160114,99.99999999838063,553800020538,,,553800020538,5538/0002:0538,0.0600
164,25201,18766.81412501674,99.72138584272228,100.00000000003536,556500040389,,,556500040389,5565/0004:0389,1.8600
165,85068,963.776549980702,99.99999999641332,99.99999999751985,555200121176,,,440029261714,5552/0012:1176,0.0964
166,77455,1066.9967850066832,99.99999999895135,99.99999999867309,552300020555,,,440009355768,5523/0002:0555,0.1067
167,23916,1892.2919949357777,99.99999999554346,99.99999999812923,556800030035,,,556800030035,5568/0003:0035,0.2297
168,14347,1018.2840934344704,99.9955032198492,99.99999999687054,552300070440,,,440051400354,5523/0007:0440,0.1018
169,38277,51419.6455168392,99.99999999977423,99.99999999990338,550100030036,,,550100030036,5501/0003:0036,5.0000
170,70782,594.8427000021368,99.99539395043382,99.99999999958827,555200121091,,,555200121091,5552/0012:1091,0.0595
171,7173,12915.578106385838,96.35135038128271,96.02822193618253,555200080174,,,440004574718,5552/0008:0174,1.3450
172,31526,24734.37847872139,99.99999999905678,99.9999999996727,553300050118,,,440027862556,5533/0005:0118,2.4735
173,73357,598.0773175012247,99.99999999778375,99.99999999926953,551300130053,,,551300130053,5513/0013:0053,0.0600
174,35673,43545.89350308467,99.99999430388901,99.99995072512164,555800030032,,,555800030032,5558/0003:0032,4.3546
175,16284,869.597646712469,99.99999999939871,99.99888775640991,555800052568,,,440050733870,5558/0005:2568,0.0870
176,46449,809.7610657598457,99.99853609417812,99.99643929241331,555800052565,,,440050732762,5558/0005:2565,0.0810
177,96500,2492.1107651103675,22.3984186653448,99.99949800255862,552800020246,,,440055838625,5528/0002:0671,0.2492
178,9526,13891.245396878547,99.99999999983868,99.99999999941843,552000090108,,,440005540112,5520/0009:0108,1.3400
179,55949,6451.824686629892,99.99999999802839,99.99999999913439,552000090075,,,440004874715,5520/0009:0075,0.8000
180,97959,34212.558700005386,100.0,100.00000000020768,556300010047,,,556300010047,5563/0001:0047,3.4212
181,36022,1598.5981999749379,99.99999999804243,99.99999999904244,554400021128,,,440050030856,5544/0002:1128,0.1599
182,15008,15924.391850005777,99.99999999950145,21.439178158983083,552500040061,,,552500040061,5525/0004:0061,7.6500
183,15008,58352.67106648489,99.9999999995935,78.56082184051839,552500040061,,,552500040061,5525/0004:0061,7.6500
184,40954,14772.653124338038,99.99999999854253,99.99999999974014,553300020293,,,440021331464,5533/0002:0293,1.5300
185,15191,5236.132534659982,99.99999999942031,99.99999999935191,553300050452,,,440010132706,5533/0005:0452,0.5300
186,71394,2609.2338752771316,100.00000000007077,99.99999999815132,555300020069,,,555300020069,5553/0002:0069,0.2400
187,49728,1501.6759597626797,99.99999999737773,99.99999999717333,552800020031,,,552800020031,5528/0002:0031,0.1501
188,81388,19106.99069280411,99.99999999950904,99.99999999957748,553000050302,,,553000050302,5530/0005:0302,1.9100
189,1630,17299.87614986491,99.99999999956945,99.99999999947289,555200050119,,,440003151886,5552/0005:0119,1.7300
190,31219,1656.2053824386733,99.99999585937067,99.99990508205124,554400040458,,,440052400252,5544/0004:0458,0.1656
191,18628,1089.4869199480465,99.99999999532133,99.99999999556465,554400040451,,,440052398131,5544/0004:0451,0.1089
192,27908,7419.609488654742,99.99999999780229,99.99999999845818,551000050985,,,440018019620,5510/0005:0985,0.7429
193,23127,2079.711993883129,99.99999999821114,99.99999999764788,550300050198,,,440050359843,5503/0005:0198,0.2080
194,93428,2242.557549891762,99.99999999831462,99.99999999466525,554500010174,,,440050597880,5545/0001:0174,0.2243
195,9866,699.8032254071405,99.99982086177577,99.9870092376456,555200121200,,,555200121200,5552/0012:1200,0.0506
196,98170,1967.904249898293,99.99999999483119,99.99999999519618,552300021108,,,440050119678,5523/0002:1108,0.1968
197,13731,999.8324094746325,99.9999999986646,99.99999999760108,555800060332,,,440009827163,5558/0006:0332,0.1000
198,77602,4079.3461804147482,99.9999999986709,99.9999999981276,553500050274,,,440004928918,5535/0005:0274,0.4200
199,84168,3599.8784949516767,99.99999999990801,99.99999999809351,556300030351,,,440017695713,5563/0003:0351,0.3600
200,55419,34590.41251491104,99.99999999966514,99.99999999992926,552800020356,,,440008274708,5528/0002:0356,3.4621
201,68164,43878.96885853147,99.97888826382876,99.93156043799672,551000020083,,,551000020083,5510/0002:0083,4.3900
202,69914,707.7932850403199,99.9983378207803,78.65969684565694,552000010852,,,440059558542,5520/0001:0967,0.0900
203,54199,600.5953999873811,99.99999999398105,100.00000000003737,555500050677,,,440007012508,5555/0005:0677,0.0601
204,35132,630.7962839865326,99.99999999623498,99.99999999901046,550500040638,,,550500040638,5505/0004:0638,0.0600
205,78266,969.118075988575,99.99999999952819,99.99999999695652,555800051650,,,440018042883,5558/0005:1650,0.0969
206,72502,3199.723047453096,99.99999999925036,99.99999999962876,556800010140,,,556800010140,5568/0001:0140,0.3200
207,73322,156961.74260738527,99.99997571652945,99.99994743936122,551000030021,,,551000030021,5510/0003:0021,15.6961
208,78595,806.7942079766912,99.99999999842795,99.9999999963471,555800070692,,,440011478110,5558/0007:0692,0.0807
209,22951,1236.40394997779,99.99999999594614,99.99999999901627,555200090037,,,555200090037,5552/0009:0037,0.1237
210,5323,26765.74100945236,99.9999999996321,99.99999999968703,555000020037,,,555000020037,5550/0002:0037,2.9300
211,26257,48888.58829583252,97.94795997200167,95.47033778558168,553300030026,,,553300030026,5533/0003:0026,5.1208
212,23788,2288.2127234110403,96.54098929064516,99.95760285593086,553300050166,,,440000460072,5533/0005:0166,0.2300
213,91378,1428.8641564604754,99.99999999879361,99.99999999795592,553000051073,,,440021980043,5530/0005:1073,0.1429
214,3136,69900.05464982273,99.99999999965124,99.99999999975444,556800120469,,,440050245073,5568/0012:0469,6.9900
215,23880,11465.26259624379,99.99997888941049,99.97844266800458,553000050514,,,440028891078,5530/0005:0514,1.1465
216,47174,959.652699992613,99.99989371287646,99.99999999873637,555800041055,,,440050697653,5558/0004:1055,0.0960
217,79995,7168.041305531884,99.99910753728076,99.99776932195948,551500020041,,,551500020041,5515/0002:0041,0.7168
218,33402,97.8182999945677,99.99999998084435,99.99999999595259,555800041064,,,440050699966,5558/0004:1064,0.0098
219,50904,486.9344999917515,99.99999999453262,99.99999999881332,552000150442,,,552000150442,5520/0015:0442,0.0487
220,47944,960.6047500065979,100.00000000070021,100.00000000058297,555800040588,,,440012055648,5558/0004:0588,0.0961
221,51204,1201.9412999889412,99.99999999950008,99.99999999866687,555800051622,,,440018039557,5558/0005:1622,0.1202
222,43214,1022.5686139747028,99.99999672295306,99.99988748743401,555800070608,,,440008937728,5558/0007:0608,0.1023
223,26988,29440.279693119424,97.0456903183355,99.99886816583384,552500050156,,,440009312292,5525/0005:0156,2.9441
224,95100,2227.64706353146,99.99965816166247,99.99999741655952,552000010396,,,440010524140,5520/0001:0396,0.2227
225,7183,8518.718107641485,99.99999999965122,99.99999999918391,554400030668,,,440022427552,5544/0003:0668,0.8519
226,75747,1333.7990399602522,99.99999999913766,99.99999999576833,554500020132,,,440050735500,5545/0002:0132,0.1334
227,63334,4838.915870889177,99.99999999889346,99.99999999699281,553000051286,,,440050455444,5530/0005:1286,0.4839
228,32584,1899.9820688011937,99.99758592942166,99.99824950330137,555800130461,,,555800130461,5558/0013:0461,0.1900
229,95863,10536.359764853838,99.99999999969351,96.48315713153426,555000030078,,,555000030078,5550/0003:0078,1.0000
230,53885,19544.082528576866,99.99999999924813,99.99999999996906,556300020272,,,440008169804,5563/0002:0272,2.0300
231,30510,11052.854360068286,99.99999999994743,99.99999999997355,555900020173,,,555900020173,5559/0002:0173,0.9800
232,61915,4594.135599942621,99.99999999878932,99.99999999895468,550500020200,,,440050031642,5505/0002:0200,0.4594
233,77178,1080.737567482142,99.9999999996081,99.99999999429006,553800140149,,,553800140149,5538/0014:0149,0.1081
234,53462,3084.4549341921424,99.99496481496055,99.99922464056543,556800020246,,,440018162893,5568/0002:0246,0.3085
235,60870,2547.067599997666,99.99999999974364,99.99999999915525,555800050464,,,440005081738,5558/0005:0464,0.2547
236,10147,518.349649988098,99.99999999931521,99.99999999665091,553500020112,,,440003175328,5535/0002:0112,0.0518
237,47157,2234.907703487538,99.9999999992104,99.99999999923638,556300010327,,,440007478160,5563/0001:0327,0.2235
238,26254,577.2571499974845,99.99999999552006,99.99999999964778,551300010095,,,551300010095,5513/0001:0095,0.0577
239,9135,2276.6566129684265,99.99999999980737,7.108077532692674,554400030770,,,440001626920,5544/0003:0272,3.2029
240,96585,24855.023847772347,99.99999999938697,99.99999999970893,554400070120,,,554400070120,5544/0007:0120,2.2400
241,65250,1399.9629999849792,99.99999999940565,99.99999999958469,552000090244,,,440007746830,5520/0009:0244,0.1400
242,27048,800.0609999810346,99.99999999841688,99.99999999760385,552300030581,,,440016557587,5523/0003:0581,0.0800
243,74078,1277.9947418823733,99.5918547945531,96.57132883599256,553300040134,,,553300040134,5533/0004:0134,0.1200
244,55208,11262.259328252667,99.99999999902859,99.99999999986541,556300020289,,,440011509307,5563/0002:0289,1.1200
245,26551,1721.1371976356863,99.99999999945707,99.99999999683294,552300020434,,,440004770209,5523/0002:0434,0.1721
246,45209,556.8813231087431,98.19299453935207,91.97958263915298,550500040500,,,550500040500,5505/0004:0500,0.0600
247,42136,551.2935107597779,99.99999999823883,99.99644680033136,552000150034,,,552000150034,5520/0015:0034,0.0551
248,7661,15708.635904667566,99.9999999999751,99.99999999901922,555000010054,,,555000010054,5550/0001:0054,1.6200
