SKLYPO_ID,UNIKAL_ID,PLOTAS_REG,SKLYPO_PLOTAS_M2,PAGRINDINE_ZONOS_KODAS,PAGRINDINE_ZONOS_PROC,ANTRA_ZONOS_KODAS,ANTRA_ZONOS_PROC,ar_gyvenamoji_zona,ar_zemes_ukio_zona,ar_misku_zona,ar_vandenu_zona,ar_pramones_zona,ar_specializuota_zona,ar_zeldynu_zona,draustiniu_proc,rezervatu_proc,parku_proc,biosferos_poligonu_proc,bast_proc,past_proc,pajurio_juostos_proc,buferiniu_apsaugos_zonu_proc,misko_proc,kvr_poligonu_proc,kvr_apsaugos_zonu_proc,pelkiu_proc,saltinynu_proc,pievu_ganyklu_proc,drenazo_plotu_proc,rinktuvu_apsaugos_zonu_proc,gelezinkelio_ribojimo_zonos_proc,reiksmingu_ribojimu_kiekis,ar_yra_stiprus_ribojimas,vystymo_target
550300080019,550300080019,3.69,36730.08,ZU_F,100.0,,0.0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,16.24,0.0,2,0,vystymas_galimas_su_salygomis
550300080041,550300080041,0.83,144.47,U_GG_M_F,100.0,,0.0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.67,0.0,0.0,1,0,vystymas_galimas_su_salygomis
550300080115,550300080115,0.53,5349.31,ZU_F,100.0,,0.0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,11.24,0.0,2,0,vystymas_galimas_su_salygomis
550300080124,550300080124,0.1053,1052.66,U_GG_V_F,100.0,,0.0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1,0,vystymas_galimas_su_salygomis
550300080146,440002965588,0.46,4600.46,U_GG_V_F,100.0,,0.0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,vystymas_tiesiogiai_galimas
550300080227,440008369682,0.25,2514.78,ZU_F,100.0,,0.0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,10.09,0.0,2,0,vystymas_galimas_su_salygomis
550300080319,440019476366,1.23,12300.47,U_GG_M_F,100.0,,0.0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.02,0.0,0.0,1,0,vystymas_galimas_su_salygomis
550300080323,440019493860,0.5374,5374.13,U_GG_M_F,100.0,U_GG_V_F,0.0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1,0,vystymas_galimas_su_salygomis
550300080347,440023120469,0.0949,949.34,U_GG_M_F,99.49,U_GG_V_F,0.51,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1,0,vystymas_galimas_su_salygomis
550300080362,440039166004,0.5782,5782.4,ZU_F,87.53,MI_F,12.47,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.47,0.0,0.0,0.0,0.0,0.0,19.26,0.0,0.0,2,0,vystymas_galimas_su_salygomis
550300090155,440006530587,15.0,150000.63,ZU_F,100.0,,0.0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.58,1.88,0.0,2,0,vystymas_galimas_su_salygomis
550300090166,440007642924,1.22,12863.26,MI_F,68.52,ZU_F,31.48,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.52,0.0,0.0,0.0,0.0,0.0,42.3,0.0,0.0,2,0,vystymas_labai_apribotas
550300090240,440019772013,2.4949,24948.76,ZU_F,100.0,,0.0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.17,10.53,0.0,2,0,vystymas_galimas_su_salygomis
550500010006,550500010006,7.9,81796.49,ZU_F,100.0,MI_F,0.0,0,1,0,0,0,0,0,0.05,0.0,0.0,0.0,0.0,80.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.3,59.51,17.65,0.0,5,1,vystymas_labai_apribotas
550500010021,550500010021,6.16,61282.66,MI_F,58.7,ZU_F,40.73,0,0,1,0,0,0,0,16.34,0.0,0.0,0.0,16.34,0.82,0.0,0.0,58.54,0.0,0.0,0.0,0.0,0.0,40.62,0.0,0.0,5,1,vystymas_labai_apribotas
550500010068,550500010068,4.498700000000001,44742.17,ZU_F,100.0,,0.0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.34,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2,0,vystymas_galimas_su_salygomis
550500010090,550500010090,1.78,19414.97,ZU_F,100.0,ZU_F,0.0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,7.86,0.0,2,0,vystymas_galimas_su_salygomis
550500010226,440009559182,2.74,27400.37,ZU_F,100.0,,0.0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.24,0.0,2,0,vystymas_galimas_su_salygomis
550500010452,440023086424,2.0,19999.98,ZU_F,100.0,,0.0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1,0,vystymas_galimas_su_salygomis
550500010501,440025877708,0.176,1759.59,ZU_F,100.0,,0.0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,9.01,0.0,2,0,vystymas_galimas_su_salygomis
550500010516,440025881423,0.1552,1551.84,ZU_F,100.0,,0.0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1,0,vystymas_galimas_su_salygomis
550500020202,440051427442,0.7178,7178.46,ZU_F,98.93,MI_F,1.07,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.07,0.0,0.0,0.0,0.0,0.0,26.07,22.84,0.0,3,0,vystymas_galimas_su_salygomis
550500030013,440024380532,0.0828,828.03,U_GG_M_F,98.68,MI_F,1.32,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,vystymas_tiesiogiai_galimas
550500030079,440003851584,0.059,589.97,U_GG_M_F,86.82,MI_F,13.18,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,vystymas_tiesiogiai_galimas
550500030196,550500030196,0.06,617.16,U_GG_M_F,100.0,,0.0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,vystymas_tiesiogiai_galimas
550500030281,550500030281,0.0628,628.05,U_GG_M_F,100.0,,0.0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,vystymas_tiesiogiai_galimas
550500040052,550500040052,0.0601,654.0,U_GG_M_F,100.0,,0.0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,vystymas_tiesiogiai_galimas
550500040342,550500040342,0.06,620.66,U_GG_M_F,100.0,,0.0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,vystymas_tiesiogiai_galimas
550500040355,550500040355,0.06,616.38,U_GG_M_F,100.0,,0.0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,vystymas_tiesiogiai_galimas
550500040538,550500040538,0.0649,649.35,U_GG_M_F,100.0,,0.0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,vystymas_tiesiogiai_galimas
