SKLYPO_ID,UNIKAL_ID,PLOTAS_REG,ADRESAS,PASK_TIP,SKLYPO_PLOTAS_M2,zonu_kiekis,pagrindine_zona_pavadinimas,pagrindine_zona_kodas,pagrindine_zona_proc,pagrindine_u_intens,pagrindine_max_auk_sk,pagrindine_pagr_pask,antra_zona_pavadinimas,antra_zona_kodas,antra_zona_proc,ar_yra_gyvenamoji_zona,ar_yra_zemes_ukio_zona,ar_yra_misku_zona,ar_yra_pramones_zona,draustiniu_proc,rezervatu_proc,parku_proc,biosferos_poligonu_proc,bast_proc,past_proc,pajurio_juostos_proc,buferiniu_apsaugos_zonu_proc,misko_proc,ar_yra_miskas_proc,kvr_poligonu_proc,kvr_apsaugos_zonu_proc,ar_yra_kvr_poligonas,ar_yra_kvr_apsaugos_zona,pelkiu_proc,saltinynu_proc,pievu_ganyklu_proc,ar_yra_pelke,ar_yra_saltinynas,ar_yra_pievos_ganyklos,drenazo_plotu_proc,rinktuvu_apsaugos_zonu_proc,ar_yra_drenazo_plotai,ar_yra_rinktuvu_apsaugos_zona
554400060448,440039214229,0.177,KlaipÓdos r. sav. KetvergiÖ k. KetvergiÖ g. 32,995,1770.72,1,Žemės ūkio teritorijų zona,ZU_F,100.0,"0,1;0,8***",0,Z;KT,,,0.0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,100.0,11.59,1,1
554400110037,554400110037,0.06,KlaipÓdos r. sav. KiÕkÓnÖ k. LibuNiÖ g. 14,610,598.87,1,Mažo užstatymo intensyvumo gyvenamoji zona,U_GG_M_F,100.0,"0,4*",0,KT,,,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0
554500010143,440031007933,0.1,KlaipÓdos r. sav. PlikiÖ mstl. LirginiÖ g. 3,995,1000.48,1,Mažo užstatymo intensyvumo gyvenamoji zona,U_GG_M_F,100.0,"0,4*",0,KT,,,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,100.0,0.0,1,0
554500010408,440010347123,0.24,KlaipÓdos r. sav. PlikiÖ mstl. Paupio g. 8,995,2371.12,2,Vidutinio užstatymo intensyvumo gyvenamoji zona,U_GG_V_F,99.01,"0,8*",0,KT,Mažo užstatymo intensyvumo gyvenamoji zona,U_GG_M_F,0.99,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0
554500020170,440046351428,1.8733,KlaipÓdos r. sav. KatkÖ k.,610,18732.31,1,Žemės ūkio teritorijų zona,ZU_F,100.0,"0,05;0,8***",0,Z;KT,,,0.0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,100.0,6.93,1,1
554500030268,554500030268,0.94,KlaipÓdos r. sav. PlikiÖ mstl.,610,10520.24,1,Mažo užstatymo intensyvumo gyvenamoji zona,U_GG_M_F,100.0,"0,4*",0,KT,,,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,100.0,0.0,1,0
554500030356,554500030356,0.93,KlaipÓdos r. sav. PlikiÖ mstl.,610,7126.84,2,Mažo užstatymo intensyvumo gyvenamoji zona,U_GG_M_F,92.87,"0,4*",0,KT,Ekstensyvaus užstatymo gyvenamoji zona,U_GG_E_F,7.13,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,100.0,1.26,1,1
555200050494,440050996997,1.4764,KlaipÓdos r. sav. StragnÖ II k.,610,14763.76,1,Mažo užstatymo intensyvumo gyvenamoji zona,U_GG_M_F,100.0,"0,4*",0,KT,,,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,90.7,0.0,1,0
555200090024,555200090024,0.1504,KlaipÓdos r. sav. KuodUiÖ k. LiepÖ g. 2,610,1503.65,1,Mažo užstatymo intensyvumo gyvenamoji zona,U_GG_M_F,100.0,"0,4*",0,KT,,,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,100.0,0.0,1,0
555800010376,440049320103,0.1491,KlaipÓdos r. sav. AukÕtkiemiÖ k. VÓjÖ g. 16,995,1490.9,2,Mažo užstatymo intensyvumo gyvenamoji zona,U_GG_M_F,95.05,"0,4*",0,KT,Miškų ir miškingų teritorijų zona,MI_F,4.95,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.19,1,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0
