db_sklypo_id,atviru_unikalus_nr,atviru_kadastro_nr,persidengimo_proc_nuo_seno,persidengimo_proc_nuo_naujo
551300210650,551300210650,5513/0021:0650,100.00000000073734,99.99999999670844
555200050121,440004101648,5552/0005:0121,100.00000000073716,99.99999999988806
551500040177,440016570799,5515/0004:0177,100.00000000073518,99.99999999913078
555200121069,555200121069,5552/0012:1069,100.0000000007327,96.67925483888546
552000150078,440026404446,5520/0015:0078,100.00000000073166,99.99999999142769
552300070319,440042852784,5523/0007:0319,100.0000000007316,99.99999999844
555800052066,440028177804,5558/0005:2066,100.0000000007306,99.99266752840424
551300060314,551300060314,5513/0006:0314,100.00000000072644,100.00000000022924
551300210086,551300210086,5513/0021:0086,100.00000000072602,99.99999999816218
556800090624,440024305315,5568/0009:0624,100.00000000072572,99.99999999928252
550500030283,550500030283,5505/0003:0283,100.000000000725,99.999999996672
553300030084,553300030084,5533/0003:0084,100.00000000072464,99.99999999434912
553000050186,553000050186,5530/0005:0186,100.00000000072176,99.99999999992733
555200130442,555200130442,5552/0013:0442,100.00000000071856,100.00000000044248
551000020271,440009867570,5510/0002:0271,100.0000000007164,98.6858010255696
551000051021,440018417808,5510/0005:1021,100.00000000071483,99.9999999995072
552800090148,440010646578,5528/0009:0148,100.0000000007132,99.99999999512823
553800040294,553800040294,5538/0004:0294,100.00000000071287,99.99999999521786
552000200164,552000200164,5520/0020:0164,100.0000000007117,99.99999999672464
555200121137,555200121137,5552/0012:1137,100.00000000071144,99.99999999692652
554400060272,440008884022,5544/0006:0272,100.00000000070932,99.9786006650664
555800140213,440000766261,5558/0014:0213,100.00000000070897,99.99999999810316
551300120109,551300120109,5513/0012:0109,100.0000000007076,99.99999999775196
551300030001,551300030001,5513/0003:0001,100.00000000070752,100.00000000024772
551500010250,440009790429,5515/0001:0250,100.0000000007073,99.99999999702004
554400160265,554400160265,5544/0016:0265,100.00000000070536,97.321272647832
551300130164,551300130164,5513/0013:0164,100.00000000070438,99.99999999712216
556800080147,440001967211,5568/0008:0147,100.00000000070396,99.99999999787802
551300160006,551300160006,5513/0016:0006,100.0000000007038,99.9999999978224
552300030972,440046066835,5523/0003:0972,100.00000000070376,99.9999615147297
555800130003,555800130003,5558/0013:0003,100.00000000070357,99.98802928404056
555500030178,440016767774,5555/0003:0178,100.00000000070204,99.9999999982452
555800140235,440002838620,5558/0014:0235,100.000000000702,99.99999999544976
551300160059,551300160059,5513/0016:0059,100.00000000070196,99.99999999507877
555800040588,440012055648,5558/0004:0588,100.0000000007002,100.00000000058296
555200080180,440004582609,5552/0008:0180,100.00000000069682,99.99999999776335
555800071604,440051665442,5558/0007:1604,100.00000000069193,99.99999999956688
553500041050,440050588391,5535/0004:1050,100.00000000069112,99.99999999691867
551300180106,551300180106,5513/0018:0106,100.00000000068962,99.99999999775358
552800100067,552800100067,5528/0010:0067,100.00000000068852,100.00000000006692
551000020523,440019567167,5510/0002:0523,100.00000000068844,99.99999999771754
551300090002,551300090002,5513/0009:0002,100.00000000068772,99.99697684723787
551300150023,551300150023,5513/0015:0023,100.00000000068692,99.99999999782658
554400060268,440008883625,5544/0006:0268,100.000000000686,99.99999999862855
552000150457,552000150457,5520/0015:0457,100.00000000068326,99.99999999312456
552000110246,440017964688,5520/0011:0246,100.00000000068216,99.99999999636808
554400200030,554400200030,5544/0020:0030,100.000000000682,99.82614764602737
552300070391,440046055141,5523/0007:0391,100.00000000068157,99.99999999842144
551500030038,551500030038,5515/0003:0038,100.00000000067986,99.99999999628496
552800040552,440009709859,5528/0004:0552,100.00000000067874,99.99992272875264
556800110088,556800110088,5568/0011:0088,100.00000000067762,99.99999999563916
551300210858,551300210858,5513/0021:0858,100.00000000067706,99.99999999940802
551300180286,551300180286,5513/0018:0286,100.0000000006744,95.495814072583
554400180146,554400180146,5544/0018:0146,100.0000000006741,99.99999999680628
552300090185,440006477003,5523/0009:0185,100.00000000067377,99.9999999968962
556800130186,556800130186,5568/0013:0186,100.00000000067357,99.99971358234716
554400270024,554400270024,5544/0027:0024,100.00000000067313,99.99999999602538
552300080101,552300080101,5523/0008:0101,100.00000000067293,99.99999999850702
551300150028,551300150028,5513/0015:0028,100.00000000067288,99.59266458603454
552000130117,552000130117,5520/0013:0117,100.00000000067276,98.84595270059611
556300030131,556300030131,5563/0003:0131,100.00000000067266,99.99999999923884
554400190179,554400190179,5544/0019:0179,100.00000000067196,99.99999999552968
553500040184,440029293085,5535/0004:0184,100.00000000067182,99.99999999852275
555800160128,555800160128,5558/0016:0128,100.00000000067166,99.9999999935342
554400260045,554400260045,5544/0026:0045,100.00000000066773,99.99999999582016
552000180363,440019984160,5520/0018:0363,100.00000000066665,99.999999994544
556500010288,556500010288,5565/0001:0288,100.00000000066626,100.0000000007925
552300060228,440005458624,5523/0006:0228,100.00000000066612,99.9999999999718
550500050209,440009753413,5505/0005:0209,100.0000000006661,99.99999999610604
556300010395,440009275101,5563/0001:0395,100.0000000006649,99.9999999956908
551500050245,440051451011,5515/0005:0245,100.00000000066412,99.99999999772818
555200120085,555200120085,5552/0012:0085,100.000000000664,99.99999999636144
555800020529,440011412166,5558/0002:0529,100.00000000066022,99.99999999956214
555800030536,440016470470,5558/0003:0536,100.0000000006588,99.99999999813537
551300160087,551300160087,5513/0016:0087,100.00000000065828,99.9999999951348
552000180166,552000180166,5520/0018:0166,100.00000000065808,99.99999999578787
554400110086,554400110086,5544/0011:0086,100.00000000065783,99.9999999976024
556800060188,440003254488,5568/0006:0188,100.00000000065776,99.21455444777804
554400200050,554400200050,5544/0020:0050,100.00000000065596,98.05152476928556
553800030021,553800030021,5538/0003:0021,100.0000000006559,99.99999999647883
553000051032,440021962778,5530/0005:1032,100.0000000006557,99.95021193666756
550300070061,550300070061,5503/0007:0061,100.00000000065556,99.99211372412454
552000040096,440007276042,5520/0004:0096,100.00000000065404,99.99999999800828
552000130184,440004856606,5520/0013:0184,100.00000000065376,99.99999999872354
552000130186,440007221263,5520/0013:0186,100.00000000065268,99.99999999740233
