SKLYPO_ID,drenazo_plotu_proc
550100010175,100.0
550100010176,67.66
550100010177,100.0
550100010178,100.0
550100010179,91.23
550100010180,83.37
550100010181,0.0
550100010182,100.0
550100010183,100.0
550100010184,99.88
550100010185,84.46
550100010186,11.96
550100010187,100.0
550100010188,100.0
550100010189,100.0
550100010190,100.0
550100010191,100.0
550100010192,100.0
550100010193,95.96
550100010194,100.0
550100010195,100.0
550100010196,100.0
550100010197,98.77
550100010198,100.0
550100010199,100.0
550100010200,97.16
550100010201,97.92
550100010202,100.0
550100010203,100.0
550100010204,58.93
550100010205,100.0
550100010206,100.0
550100010207,100.0
550100010208,100.0
550100010209,100.0
550100010210,100.0
550100010211,100.0
550100010212,100.0
550100010213,100.0
550100010214,100.0
550100010215,100.0
550100010216,100.0
550100010217,71.65
550100010218,100.0
550100010219,100.0
550100010220,100.0
550100010221,0.0
550100010222,11.64
550100010223,100.0
550100010224,100.0
550100010225,0.0
550100010226,96.92
550100010227,90.2
550100010228,99.78
550100010229,99.59
550100010230,99.99
550100010231,71.34
550100010232,100.0
550100010233,98.58
550100010234,100.0
550100010235,100.0
550100010236,100.0
550100010237,100.0
550100010238,100.0
550100010239,99.61
550100010240,100.0
550100010241,100.0
550100010242,99.71
550100010243,100.0
550100010244,97.0
550100010245,100.0
550100010246,100.0
550100010247,0.09
550100010248,0.0
550100010249,100.0
550100010250,100.0
550100010251,100.0
550100010252,0.0
550100010253,100.0
550100010254,88.31
550100010255,100.0
550100010256,0.0
550100010257,100.0
550100010258,88.62
550100010259,100.0
550100010260,82.38
550100010261,100.0
550100010262,100.0
550100010263,63.21
550100010264,67.71
550100010265,100.0
550100010266,100.0
550100010267,100.0
550100010268,100.0
550100010269,100.0
550100010270,100.0
550100010271,100.0
550100010272,57.76
550100010273,0.0
550100010274,100.0
550100010275,100.0
550100010276,100.0
550100010277,100.0
550100010278,100.0
550100010279,74.79
550100010280,70.86
550100010281,100.0
550100010282,99.99
550100010283,100.0
550100010284,97.99
550100010285,100.0
550100010286,100.0
550100010287,98.73
